AppID,Name,Number of languages,Languages
1471960,Room to Grow,17.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'Korean', 'Portuguese', 'Portuguese-Brazil', 'Russian', 'SimplifiedChinese', 'Spanish-LatinAmerica', 'TraditionalChinese', 'Japanese', 'Polish', 'Vietnamese', 'Arabic', 'Czech']"
1457150,Leafling,1.0,['English']
292180,X-Plane 10 Global - 64 Bit,8.0,"['English', 'German', 'French', 'Italian', 'Spanish-Spain', 'Portuguese', 'Portuguese-Brazil', 'Russian']"
1853200,TYRONE vs COPS,1.0,['English']
1094250,It Stares Back,1.0,['English']
536660,JCB Pioneer: Mars,1.0,['English']
362920,Atlantis 2: Beyond Atlantis,5.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain']"
1113940,Electronic Super Joy 2,1.0,['English']
529130,Expect The Unexpected,1.0,['English']
836440,MonsterxMan: Inheritence To Lust,1.0,['English']
399670,Game Corp DX,1.0,['English']
584170,Freedom Locomotion VR,1.0,['English']
559210,Rakuen,10.0,"['English', 'Italian', 'Spanish-Spain', 'Korean', 'SimplifiedChinese', 'German', 'Hungarian', 'Turkish', 'Vietnamese', 'Ukrainian']"
227160,Kinetic Void,1.0,['English']
816490,Hidden Paws,15.0,"['English', 'Polish', 'Russian', 'German', 'Finnish', 'Danish', 'French', 'Dutch', 'SimplifiedChinese', 'Japanese', 'Czech', 'Spanish-Spain', 'Italian', 'Turkish', 'Portuguese-Brazil']"
1527910,Gladio and Glory,1.0,['English']
980940,My Little Blacksmith Shop,1.0,['English']
40800,Super Meat Boy,2.0,"['English', 'Russian']"
371450,Awe,5.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain']"
627690,Idle Champions of the Forgotten Realms,7.0,"['English', 'French', 'German', 'Portuguese-Brazil', 'Russian', 'SimplifiedChinese', 'Spanish-LatinAmerica']"
1348390,I am an Air Traffic Controller 4,1.0,['English']
42920,The Kings' Crusade,1.0,['English']
690610,MagiCats Builder (Crazy Dreamz),6.0,"['English', 'French', 'Spanish-Spain', 'Portuguese-Brazil', 'Russian', 'SimplifiedChinese']"
539750,Kombine,1.0,['English']
1601680,The Advisor - Episode 1: Royal Pain,1.0,['English']
876850,WhiteLily 1ï¼šä¸½ä¸½å…¬ä¸»,1.0,['SimplifiedChinese']
482390,The Night Cafe: A VR Tribute to Vincent Van Gogh,1.0,['English']
513330,Party Tycoon,2.0,"['English', 'Russian']"
736430,Clicker bAdventure,8.0,"['English', 'French', 'SimplifiedChinese', 'German', 'Spanish-Spain', 'Japanese', 'Russian', 'Korean']"
959000,Edna & Harvey: The Breakout - Anniversary Edition,6.0,"['English', 'German', 'French', 'Russian', 'SimplifiedChinese', 'TraditionalChinese']"
731180,Coffee Run,1.0,['English']
226620,Desktop Dungeons,2.0,"['English', 'SimplifiedChinese']"
699080,Jake's Love Story,5.0,"['English', 'Polish', 'German', 'SimplifiedChinese', 'Portuguese-Brazil']"
1172470,Apex Legendsâ„¢,13.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese-Brazil', 'Russian', 'SimplifiedChinese', 'TraditionalChinese', 'Spanish-LatinAmerica']"
841600,Aura of Worlds,1.0,['English']
1299120,Mosaique Neko Waifus 2,10.0,"['English', 'French', 'German', 'Spanish-Spain', 'SimplifiedChinese', 'Japanese', 'Korean', 'Polish', 'Russian', 'Thai']"
773530,Magic Nations - Card Game,1.0,['English']
223750,DCS World Steam Edition,7.0,"['English', 'German', 'Spanish-Spain', 'Russian', 'Czech', 'French', 'SimplifiedChinese']"
291170,Royal Defense,7.0,"['English', 'Russian', 'Italian', 'German', 'Spanish-Spain', 'Dutch', 'Portuguese-Brazil']"
346940,Shadowrun: Hong Kong - Extended Edition,1.0,['English']
40420,Tidalis,1.0,['English']
288790,White Haven Mysteries,1.0,['English']
283620,World of Subways 3 â€“ London Underground Circle Line,4.0,"['English', 'French', 'German', 'Spanish-Spain']"
1152410,Karate Cat,24.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'Bulgarian', 'Portuguese-Brazil', 'Hungarian', 'Greek', 'Danish', 'TraditionalChinese', 'SimplifiedChinese', 'Korean', 'Dutch', 'Norwegian', 'Polish', 'Portuguese', 'Romanian', 'Russian', 'Turkish', 'Finnish', 'Czech', 'Swedish', 'Japanese']"
350970,Planet of the Eyes,10.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'Japanese', 'Korean', 'Portuguese-Brazil', 'Russian', 'SimplifiedChinese']"
1504570,Cultivation Tales,2.0,"['English', 'SimplifiedChinese']"
418650,Space Pirate Trainer,1.0,['English']
1418160,Happy Quest,9.0,"['English', 'SimplifiedChinese', 'TraditionalChinese', 'Italian', 'Portuguese', 'German', 'Spanish-Spain', 'Russian', 'Portuguese-Brazil']"
313740,Sakura Spirit,1.0,['English']
237760,Intake,1.0,['English']
1022480,KAMIKO,3.0,"['English', 'TraditionalChinese', 'Japanese']"
1166990,Kukoro: Stream chat games,2.0,"['English', 'Spanish-Spain']"
407420,Gabe Newell Simulator,1.0,['English']
391280,Epic Manager - Create Your Own Adventuring Agency!,1.0,['English']
1412580,Sword of Destiny,4.0,"['English', 'Turkish', 'German', 'Spanish-Spain']"
869840,Feather Of Praying ç¾½ç¿¼çš„ç¥ˆæ„¿,2.0,"['SimplifiedChinese', 'English']"
438490,GOD EATER 2 Rage Burst,6.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'Russian']"
656070,Better Off Tread,1.0,['English']
855010,270 | Two Seventy US Election,1.0,['English']
312540,Ys VI: The Ark of Napishtim,1.0,['English']
368570,Beat Da Beat,12.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'Portuguese', 'Turkish', 'Russian', 'Japanese', 'SimplifiedChinese', 'TraditionalChinese', 'Korean']"
270880,American Truck Simulator,24.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'Bulgarian', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Greek', 'Hungarian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese', 'Portuguese-Brazil', 'Romanian', 'Russian', 'SimplifiedChinese', 'Swedish', 'Turkish', 'Ukrainian']"
959410,The Endless Empty,2.0,"['English', 'SimplifiedChinese']"
1273250,Breakpoint,15.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'Dutch', 'Japanese', 'Korean', 'Polish', 'Portuguese-Brazil', 'Russian', 'SimplifiedChinese', 'Spanish-LatinAmerica', 'TraditionalChinese', 'Turkish']"
589220,UAYEB: The Dry Land - Episode 1,1.0,['English']
408920,Krai Mira: Extended Cut,4.0,"['English', 'French', 'German', 'Polish']"
733990,I Can't Believe It's Not Gambling,2.0,"['English', 'SimplifiedChinese']"
528460,Rogalia,7.0,"['English', 'Russian', 'Japanese', 'Portuguese-Brazil', 'TraditionalChinese', 'SimplifiedChinese', 'Korean']"
1431040,Golazo! Soccer League,10.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'Japanese', 'Polish', 'Portuguese', 'Russian', 'Turkish']"
1143810,Black Skylands,7.0,"['English', 'Russian', 'French', 'German', 'Spanish-Spain', 'Portuguese-Brazil', 'SimplifiedChinese']"
45750,Lost PlanetÂ® 2,9.0,"['English', 'French', 'German', 'Italian', 'Spanish-Spain', 'Japanese', 'Korean', 'Polish', 'Russian']"
1008000,Aetheria Online,1.0,['English']
1436810,The Door in the Basement,1.0,['English']
1280780,War on the Sea,1.0,['English']
994200,å¤©é™…èµ·æº The Ark of Horizon,1.0,['SimplifiedChinese']
460630,Trouble Witches Origin - Episode1 Daughters of Amalgam -,2.0,"['English', 'Japanese']"
562050,Liquid Pinball,3.0,"['English', 'Russian', 'Ukrainian']"
613880,Zoo Tycoon: Ultimate Animal Collection,12.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'Danish', 'Dutch', 'Japanese', 'Polish', 'Russian', 'Swedish', 'Portuguese']"
1420080,Wonder Boy: Asha in Monster World,8.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'SimplifiedChinese', 'TraditionalChinese', 'Japanese']"
1071220,"After I met that catgirl, my questlist got too long!",1.0,['English']
266330,Ethan: Meteor Hunter,18.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Greek', 'Hungarian', 'Norwegian', 'Polish', 'Portuguese', 'Portuguese-Brazil', 'Russian', 'Swedish', 'Turkish']"
1436990,Feign,11.0,"['English', 'Turkish', 'French', 'German', 'Spanish-Spain', 'Polish', 'Russian', 'SimplifiedChinese', 'Japanese', 'Korean', 'Czech']"
1192610,ANIME REDEMPTION,1.0,['English']
371120,Discouraged Workers,5.0,"['English', 'Korean', 'Spanish-Spain', 'Russian', 'SimplifiedChinese']"
910460,Rocket of Whispers: Prologue,4.0,"['English', 'TraditionalChinese', 'Japanese', 'SimplifiedChinese']"
226780,MUD Motocross World Championship,5.0,"['English', 'German', 'French', 'Italian', 'Spanish-Spain']"
251990,Long Live The Queen,1.0,['English']
543240,âˆšLetter - Root Letter -,3.0,"['Japanese', 'English', 'TraditionalChinese']"
984610,Mech Merc Company,1.0,['English']
1342790,GangV | VR & PC Battle Royale,18.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'Arabic', 'Japanese', 'Korean', 'Portuguese', 'Russian', 'SimplifiedChinese', 'TraditionalChinese', 'Portuguese-Brazil', 'Spanish-LatinAmerica', 'Czech', 'Polish', 'Romanian', 'Turkish']"
11370,Nikopol: Secrets of the Immortals,5.0,"['English', 'French', 'German', 'Italian', 'Spanish-Spain']"
1271280,Rift Wizard,1.0,['English']
426930,Moonshot,1.0,['English']
499540,Wake Up,1.0,['English']
606230,Thea 2: The Shattering,1.0,['English']
1207390,Ghosts'n DJs,1.0,['English']
508790,Flat Heroes,26.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'Arabic', 'Bulgarian', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Greek', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese', 'Portuguese-Brazil', 'Romanian', 'Russian', 'SimplifiedChinese', 'Swedish', 'Thai', 'TraditionalChinese', 'Turkish', 'Ukrainian']"
654260,æ—§æ‰‹è¡¨ - Old Watch,1.0,['SimplifiedChinese']
828740,Tales of the Neon Sea,2.0,"['English', 'SimplifiedChinese']"
454680,MetaTron,1.0,['English']
