AppID,Name,Price,English,French,Italian,German,Spanish-Spain,Russian,Japanese,SimplifiedChinese,TraditionalChinese,Korean,Polish,Portuguese,Turkish,Czech,Portuguese-Brazil,Hungarian,Dutch,Ukrainian,Danish,Arabic,Spanish-LatinAmerica,Thai,Finnish,Norwegian,Romanian,Swedish,Greek,Vietnamese,Bulgarian,Slovakian,Portuguese-Portugal,Indonesian,Hindi,Catalan,None
6800,Commandos: Behind Enemy Lines,4.99,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522090,Medieval Defenders,4.99,4.99,,,,,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453310,Blackwood Crossing,15.99,15.99,15.99,15.99,15.99,15.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666870,Perfect Crime,11.39,11.39,,,,,,,11.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193630,Edge of Book,8.99,,,,,,,,8.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
242110,Joe Danger 2: The Movie,2.99,2.99,2.99,2.99,2.99,2.99,,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1237540,Ultimate MMA,4.99,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769320,Athanasy,7.49,7.49,,,,,7.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911430,Good Company,24.99,24.99,24.99,,24.99,24.99,24.99,24.99,24.99,,,,,,,24.99,,,,,,,,,,,,,,,,,,,,
265830,Monochroma,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,,19.99,19.99,19.99,19.99,19.99,,19.99,19.99,,19.99,,,19.99,19.99,19.99,19.99,19.99,19.99,,19.99,,,,,,
913010,Your Dry Delight,0.0,0.0,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
926520,Love Letter,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
477870,Yomawari: Night Alone,19.99,19.99,,,,,,19.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091960,Drowning Cross,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650000,DOOM VFR,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,,14.99,,14.99,,,,14.99,,,,,,,,,,,,,,,,,,,,
644550,ç¯±ç¬†åº„ç§˜é—» / Mysteries of Fence,3.99,3.99,,,,,,,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
744190,Rusty Lake Paradise,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,,3.99,3.99,,3.99,,3.99,,3.99,,3.99,,,,,,,,,,,,,,,,
1909770,Aim Climb,6.8,6.8,,,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531510,Just Shapes & Beats,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,,,19.99,,,,,,19.99,,,,,,,,,,,,,,
842180,Prison Simulator,19.99,19.99,19.99,19.99,19.99,19.99,19.99,,19.99,,,19.99,,19.99,,19.99,,,,,,,,,,,,,,,,,,,,
671090,Oik Memory,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,,,,,,
789570,Nepenthe,3.99,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250460,Bridge Constructor,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,,1.49,1.49,,,,1.49,,,,,,,,,,,,,,,,,,
386490,Wanda - A Beautiful Apocalypse,1.99,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1248270,Spellbound Spire,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850230,Women's Soccer/Football Manager,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,
1739300,Smack Studio,14.99,14.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113400,APB Reloaded,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977230,Mars Power Industries Deluxe,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,,3.99,3.99,3.99,,,3.99,,,,,3.99,3.99,,,,,,,,,,,,,,
429720,IMSCARED,3.99,3.99,,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100400,Silo 2,59.99,59.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664830,Zombotron,14.99,14.99,14.99,,14.99,,14.99,,14.99,,,,,,,14.99,,,,,,,,,,,,,,,,,,,,
340550,Crunch Time!,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1528130,Suicide Countdown: 7 Days,2.99,,,,,,,2.99,2.99,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,
1092980,Mountain Taxi Driver,0.99,0.99,,,,,0.99,,0.99,0.99,,,,,,0.99,,,,,,,,,,,,,,,,,,,,
245300,Disney Epic Mickey 2:  The Power of Two,19.99,19.99,19.99,19.99,19.99,19.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521210,Timore 5,8.99,8.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765710,Light Bearers,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144800,Drop In - VR F2P,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861030,Lovely Fox,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386180,Crossout,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
1609230,Scarlet Hollow,19.99,19.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29180,Osmos,9.99,9.99,9.99,9.99,9.99,9.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818210,Indie Pogo,14.99,14.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582560,The Invisible Hours,29.99,29.99,29.99,,29.99,29.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539380,Think To Die 2,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222050,Touhou Mechanical Scrollery | å¹»æƒ³è¨Žå¹»çµŒ,9.99,9.99,,,,,,9.99,9.99,9.99,,,,,,,,,,,,,,,,,,,,,,,,,,
374670,Ember Strike,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092790,Inscryption,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,,,19.99,,19.99,,,,,,,,,,,,,,,,,,,,
557890,Sunset's Ashes,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039890,EARTH DEFENSE FORCE: IRON RAIN,59.99,59.99,59.99,59.99,59.99,59.99,,59.99,,59.99,59.99,,,,,,,,,,,,,,,,,,,,,,,,,
326340,River City Super Sports Challenge ~All Stars Special~,2.99,2.99,,,,,,2.99,2.99,,2.99,,,,,,,,,,,,,,,,,,,,,,,,,
757630,Big Day,9.99,9.99,,,,,,,9.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
957050,Ultra Off-Road 2019: Alaska,19.99,19.99,19.99,,19.99,,19.99,19.99,19.99,19.99,,19.99,,,,,,,,,,,,,,,,,,,,,,,,
390200,Queen's Quest: Tower of Darkness,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,,9.99,9.99,,,,9.99,,,,,,,,,,,,,,,,,,,,
345460,War of Omens Card Game,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207170,Legend of Grimrock,14.99,14.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804430,Drink Pro Tycoon,9.99,9.99,9.99,,9.99,,,,,,,,,9.99,,,,,,,,,,,,,,,,,,,,,,
1409730,Hero of Not Our Time,5.99,5.99,,,,,5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342520,BoxesWithGuns,1.99,1.99,1.99,,1.99,,,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1786200,Wars and Roses,19.99,19.99,,,,,,,19.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
1523290,Blacksmith Legends: Prologue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1469370,Lighthouse Keeper,0.99,0.99,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
